site,flow_cell,sample_set,sample_no,barcode,group,isb_id,environment,tank,inoculum
ISB Aquaponics samples,FAF19229,T0,1,1,ISB_1_12,T0B,biofilter,NA,established
ISB Aquaponics samples,FAF19229,T0,2,2,ISB_1_12,T0Comm,inoculum,NA,commercial
ISB Aquaponics samples,FAF19229,T0,3,3,ISB_1_12,T0F1,fish feces,1,commercial
ISB Aquaponics samples,FAF19229,T0,4,4,ISB_1_12,T0F2,fish feces,2,commercial
ISB Aquaponics samples,FAF19229,T0,5,5,ISB_1_12,T0F3,fish feces,3,commercial
ISB Aquaponics samples,FAF19229,T0,6,6,ISB_1_12,T0F4,fish feces,4,established
ISB Aquaponics samples,FAF19229,T0,7,7,ISB_1_12,T0F5,fish feces,5,established
ISB Aquaponics samples,FAF19229,T0,8,8,ISB_1_12,T0F6,fish feces,6,established
ISB Aquaponics samples,FAF19229,T0,9,9,ISB_1_12,T0RW,root,NA,plants
ISB Aquaponics samples,FAF19229,T1,10,10,ISB_1_12,T1B1,biofilter,1,commercial
ISB Aquaponics samples,FAF19229,T1,11,11,ISB_1_12,T1B2,biofilter,2,commercial
ISB Aquaponics samples,FAF19229,T1,12,12,ISB_1_12,T1B3,biofilter,3,commercial
ISB Aquaponics samples,FAH29333,T1,13,1,ISB_13_22,T1B4,biofilter,4,established
ISB Aquaponics samples,FAH29333,T1,14,2,ISB_13_22,T1B5,biofilter,5,established
ISB Aquaponics samples,FAH29333,T1,15,3,ISB_13_22,T1B6,biofilter,6,established
ISB Aquaponics samples,FAH29333,T2,16,4,ISB_13_22,T2B1,biofilter,1,commercial
ISB Aquaponics samples,FAH29333,T2,17,5,ISB_13_22,T2B2,biofilter,2,commercial
ISB Aquaponics samples,FAH29333,T2,18,6,ISB_13_22,T2B3,biofilter,3,commercial
ISB Aquaponics samples,FAH29333,T2,19,7,ISB_13_22,T2B4,biofilter,4,established
ISB Aquaponics samples,FAH29333,T2,20,8,ISB_13_22,T2B5,biofilter,5,established
ISB Aquaponics samples,FAH29333,T2,21,9,ISB_13_22,T2B6,biofilter,6,established
ISB Aquaponics samples,FAH29333,T2,22,10,ISB_13_22,T2R1,root,1,commercial
ISB Aquaponics samples,FAE32133,T2,23,8,ISB_23_27,T2R2,root,2,commercial
ISB Aquaponics samples,FAE32133,T2,24,9,ISB_23_27,T2R3,root,3,commercial
ISB Aquaponics samples,FAE32133,T2,25,10,ISB_23_27,T2R4,root,4,established
ISB Aquaponics samples,FAE32133,T2,26,11,ISB_23_27,T2R5,root,5,established
ISB Aquaponics samples,FAE32133,T2,27,12,ISB_23_27,T2R6,root,6,established